name,price,condition,posted_time,seller_name,url,description
Apple Airpods Pro Gen2 with Magsafe charging case & lightening,S$240,"S$10.00, within 1 working day(s)",3 hours ago by,robindragonian,https://www.carousell.sg/p/apple-airpods-pro-gen2-with-magsafe-charging-case-lightening-1267680130/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=9,AirPods Pro Gen 2 with Magsafe Charging Case (lightening)
Apple AirPods Pro 2 (USB-C) New Edition| Brand New Original sealed Local Set | 1 Year Local Apple Warranty 🇸🇬 #LMALL,S$295,Brand new,3 hours ago by,litemobile_official,https://www.carousell.sg/p/apple-airpods-pro-2-usb-c-new-edition-brand-new-original-sealed-local-set-1-year-local-apple-warranty-🇸🇬-lmall-1218299903/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=15,"Mobile Wholesale Singapore 新加坡手机批发 
☎️ 91057653 / 90014651 ☎️
HOT DEAL 🔥🔥🔥

♻️ TRADE IN WELCOME 欢迎折旧换机 ♻️

Model :
 
Apple AirPods Pro 2 2022 (2nd Generation)

Lighting Charging Case - $295 🔥
Type C Charging Case     - $318 🔥

👉 Brand New Sealed Non-Activated Local Set
👉 1 Year Local Apple Warranty 🇸🇬


Outlet code : LMALL

Warranty : Local 1 Year Apple Warranty 

#apple #airpods #airpodspro2 #pro2
#lighting  #usbc  #typec #cheapest #litemobile"
Apple AirPods Pro Gen 2 / BNIB Apple Airpods Pro Gen 2 / AirPods Pro 2nd Generation/ Authentic Apple AirPods Pro Gen 2,S$295,Brand new,7 hours ago by,therealbrandname,https://www.carousell.sg/p/apple-airpods-pro-gen-2-bnib-apple-airpods-pro-gen-2-airpods-pro-2nd-generation-authentic-apple-airpods-pro-gen-2-1267629899/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=32,"Sealed box with long warranty. 
Purchased 1 week ago.
Anytime can deal. Meetup location can be discussed."
Apple AirPods Pro (PLUS APPLE CARE),S$180,Like new,moments ago by,angeluschan,https://www.carousell.sg/p/apple-airpods-pro-plus-apple-care-1256806812/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=0,None
[Receipt] airpods pro gen 2 type c,S$300,Brand new,2 hours ago by,pineapplesandwhatnot,https://www.carousell.sg/p/receipt-airpods-pro-gen-2-type-c-1267681425/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=8,"brand new official singtel receipt
sealed set unactivated

type c and magsafe"
Apple AirPods Pro,S$200,Like new,6 hours ago by,javierrlowww,https://www.carousell.sg/p/apple-airpods-pro-1267649289/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=22,None
Airpods Pro Gen 2,S$230,Brand new,6 hours ago by,janiceng33,https://www.carousell.sg/p/airpods-pro-gen-2-1266612878/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=23,"Brand new Airpods Pro Gen 2
Sealed opened just to check condition
Box includes:
x1 MagSafe Charger for airpods gen 2
x1 One set of airpods
x1 USB C to Lightning
x1 3 Sizes eartip

Still under warranty till 30 Jan 2024"
Apple AirPods Pro gen 2,S$299,Brand new,10 hours ago by,monsieur2,https://www.carousell.sg/p/apple-airpods-pro-gen-2-1267596426/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=5,Unbox . Brand new.
AirPods Pro Gen 2,S$220,Like new,2 hours ago by,jamal_jamerson,https://www.carousell.sg/p/airpods-pro-gen-2-1267685357/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=7,"AirPods Pro Gen 2
9.5/10"
Apple Airpods Pro Gen 2,S$200,Brand new,8 hours ago by,thomas6381,https://www.carousell.sg/p/apple-airpods-pro-gen-2-1267615538/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=35,new but i opened to check
AirPods Pro,S$150,Like new,9 hours ago by,kthescript,https://www.carousell.sg/p/airpods-pro-1267613924/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=36,None
Apple Airpods Pro Gen 1,S$150,Well used,5 hours ago by,jwlau2106,https://www.carousell.sg/p/apple-airpods-pro-gen-1-1267653645/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=20,"Everything has been cleaned with 70% IPA
Out of warranty, used since Nov 2021.
Box still available, no cable only.
Case and airpods works fine.
Lots of scratches on the case.
Can provide serial number/more photos if needed.
RFS: Bought new airpods pro during black friday
Self collect/arrange delivery for $5 off"
air pods pro,S$170,Brand new,2 hours ago by,an1qn1zz,https://www.carousell.sg/p/air-pods-pro-1267687224/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=6,None
Airpods Pro gen 2,S$220,Brand new,9 hours ago by,saraa422,https://www.carousell.sg/p/airpods-pro-gen-2-1266837099/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=37,Airpods pro gen 2
CASETiFY One Piece Dendenbug Golden Transponder Snail AirPods Pro Case,S$188,Brand new,4 hours ago by,noblemana,https://www.carousell.sg/p/casetify-one-piece-dendenbug-golden-transponder-snail-airpods-pro-case-1255941315/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=16,For AirPod pro 2
Apple AirPods Pro (2nd Generation),S$300,Brand new,5 hours ago by,arrbez,https://www.carousell.sg/p/apple-airpods-pro-2nd-generation-1267657362/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=19,"https://www.apple.com/sg/airpods-pro/Description

AirPods Pro feature up to 2x more Active Noise Cancellation, plus Adaptive Transparency, and Personalised Spatial Audio with dynamic head tracking for immersive sound. Now with multiple ear tips (XS, S, M, L) and up to 6 hours of listening time.

Features & details

Active Noise Cancellation reduces unwanted background noise

Adaptive Transparency lets outside sounds in while reducing loud environmental noise

Personalised Spatial Audio with dynamic head tracking places sound all around you

Multiple ear tips (XS, S, M, L)

Sweat- and water-resistant for AirPods Pro and charging case

MagSafe Charging Case with speaker and lanyard loop

Up to 6 hours of listening time with Active Noise Cancellation on

Up to 30 hours of total listening time with the MagSafe Charging Case and Active Noise Cancellation on

Quick access to Siri by saying “Hey Siri”

Easy setup, in-ear detection and automatic switching between devices"
Nego! Airpods Pro Gen 2 with 1 Year Warranty,S$300,Brand new,7 hours ago by,beenii,https://www.carousell.sg/p/nego-airpods-pro-gen-2-with-1-year-warranty-1267635245/?t-id=9XoDp8Zbfd_1700928552799&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=bgRnoHwkJCKu2kIr&t-referrer_search_query=airpods%20pro&t-referrer_sort_by=&t-tap_index=29,"Serial number n warranty provided 🧾
BNIB unsealed 💖
Meetup at my convenience with paynow✨
Lowballers will be ignored🫡
What u see is what u get"
