name,selling_price,original_price,warranty,width,depth,height,color,material
Fuasto Straight table L150 (Ash + Dark Grey),S$405.90,S$730.90,Warranty:1-Year,150,75,"Work Desk, Office Table","MDF Wood, Melamine, Metal",Cable Management
Devyn 1.4M Study Desk with Guivret Chair Set (White/Grey),S$409.00,S$736.00,Warranty:3-Year,White,"Drawer(s) Storage, Cable Management",None,3-Year,Free Assembly Included
Abdiel L-Shape Study Desk (Natural/White),S$529.00,S$952.00,Warranty:3-Year,120,120,194,Melamine,Cadence
Dejen Study Table,S$189.00,S$289.00,Warranty:3-Year,100,55,76,Cable Management,"MDF Wood, Metal"
Hedy Study Desk (Walnut),S$136.90,S$474.90,Warranty:3-Year,83,58,150,Walnut,Particle Board
Merkier Desk,S$145.90,S$262.90,Warranty:1-Year,104,51,128,"Shelf Storage, Drawer(s) Storage",1-Year
Dorian Study Table,S$131.90,S$236.90,Warranty:1-Year,84.10,45,153.50,Brown,"Laminate, MDF Wood, Metal"
Lyubov 1M Study Table with Chair Set,S$599.00,"S$1,079.00",Warranty:3-Year,Drawer(s) Storage,Cadence,None,3-Year,Free Assembly Included
Marvelle 1.0M Study Desk (White),S$59.90,S$106.90,Warranty:1-Year,100,40,97,White,Engineered Wood
Scissors study desk,S$208.90,S$375.90,Warranty:3-Year,93.50,50,95.50,Wood,Solid Wood
Imelda IV.1 Adjustable Children's Study Desk (Blue),None,None,Warranty:2-Year,"Shelf Storage, Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",73 - 93.5,70,60,2-Year
Duvessa Extendable Study Desk with Storage on the Right,S$449.00,S$809.00,Warranty:3-Year,140 - 170,55,76,"Extendable Tabletop, Cabinet Storage, Drawer(s) Storage",Melamine
Davian II 1.4M Study Desk (Natural/White),S$279.00,S$509.00,Warranty:1-Year,140,50,150,"Shelf Storage, Drawer(s) Storage",Natural
Griffith Study Desk (Walnut),S$109.90,S$197.90,Warranty:1-Year,80,50.50,75,Walnut,"Rubber wood, Solid Wood"
Paulie Study Table with Storage,S$349.00,S$529.00,Warranty:3-Year,140 - 180cm,60 - 110cm,75 - 185cm,Extendable Tabletop,3-Year
Frea Study Desk I,S$179.00,S$269.00,Warranty:3-Year,81.50,40,78.50,Drawer(s) Storage,"Laminate, MDF Wood, Melamine"
Ammiel Study Desk II,S$449.00,S$679.00,Warranty:3-Year,90,55,172,"Cabinet Storage, Shelf Storage, Drawer(s) Storage","Laminate, MDF Wood, Solid Wood"
Bestien 1.2M Long Study Desk with Tall Cabinet (Beech),S$579.00,"S$1,042.00",Warranty:3-Year,120,100,167,Beech,"Melamine, Solid Wood"
Stige Modular Desk,S$337.90,S$607.90,Warranty:3-Year,90,67.50,150,With Top Shelf,3-Year
Levente 2.4M Dual Study Table with Storage Cabinet Set (Greige),S$269.00,S$484.00,Warranty:3-Year,240,39,75,Greige,Melamine
Suvi Swing Desk,S$353.90,S$636.90,Warranty:3-Year,120,100,73.50,"Extendable Tabletop, Shelf Storage",Cadence
Darina II Study Table (1.2m),S$429.00,S$649.00,Warranty:3-Year,120,60,75,120cm x 60cm,"Sintered Stone, Metal"
Darryn 1.0M Study Desk (Black),S$139.00,S$250.00,Warranty:3-Year,100,60,89,Black,Particle Board
Merlyn II Study Desk,S$289.00,S$439.00,Warranty:1-Year,120,60,108,Walnut White,MDF Wood
Detor Desk,S$69.00,S$236.90,Warranty:1-Year,120,48,76,Brown,27.80
Frazier Study Desk with Storage on the Left (Natural),S$439.00,S$799.00,Warranty:3-Year,117 - 144,56,76,Natural,"Melamine, Oak Wood"
Eduard Study Desk (Walnut),S$65.90,S$118.90,Warranty:1-Year,115,56,74,"Particle Board, Polypropylene",25.00
Travail Desk Light Ash,S$179.90,S$243.90,Warranty:1-Year,120,60,76,Ash,Particle Board
Seabert Table,S$79.90,S$143.90,Warranty:1-Year,65,50,68,Foldable,PET
Travail Desk Brown,S$140.90,S$253.90,Warranty:1-Year,120,60,76,Brown,Particle Board
Bhruic Study Desk (White Sintered),S$449.00,S$809.00,Warranty:10-Year,80,61.50,77.30,Drawer(s) Storage,"Oak Wood, Sintered Stone, Solid Wood"
Devyn 1.0M Study Desk (White),S$189.00,S$340.00,Warranty:3-Year,100,50,75,White,MDF Wood
Imelda VII Adjustable Children's Study Desk (Blue),S$533.90,S$960.90,Warranty:2-Year,"Shelf Storage, Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",Blue,101.5 - 126,60,MDF Wood
Corinna II Tall Study Desk,S$479.00,S$719.00,Warranty:3-Year,100,55,175,"Cabinet Storage, Shelf Storage, Drawer(s) Storage",MDF Wood
Davian II 1M Study Desk (Natural/White),S$199.00,S$359.00,Warranty:3-Year,100,50,150,Natural,Particle Board
Vilma Study Desk with Storage (Walnut),S$309.00,S$556.00,Warranty:3-Year,120,60,196,Walnut,Melamine
Tancred Study Desk,S$129.90,S$239.90,Warranty:3-Year,140,50,76,"MDF Wood, Steel",19.90
Bestien 1.0M Study Table with Tall Cabinet (Beech),S$529.00,S$952.00,Warranty:3-Year,100,100,167,Beech,"Melamine, Solid Wood"
Anntoin 1.45M Study Desk (Grey),S$279.00,S$499.00,Warranty:3-Year,144,56,119,Grey,Melamine
Ollson Study Desk (Black/Light Wood),S$134.90,S$242.90,Warranty:3-Year,98,45,90,"Particle Board, Steel",11.00
Nyahi Study Desk,S$319.00,S$479.00,Warranty:10-Year,110,60,79,MDF Wood,23.00
"Livik Station™ Electric Adjustable Table, 1.4M",None,None,Warranty:1-Year,140,70,60-125,140cm,30.00
Eduard Study Desk (Grey),S$69.90,S$118.90,Warranty:1-Year,115,56,74,"Particle Board, Polypropylene",25.00
Tiril Study Desk,S$249.00,S$379.00,Warranty:3-Year,120,60,82,"Shelf Storage, Drawer(s) Storage",MDF Wood
Kamden L-Shape Study Desk (Left/Walnut),S$249.00,S$448.00,Warranty:3-Year,140,100,75,140cm,"Particle Board, Steel"
Aglea Study Desk with Storage (White/Blue),S$399.00,S$799.00,Warranty:3-Year,120,57 (including handle),None,"MDF Wood, Melamine",3-Year
Kay Study Desk,S$339.00,S$509.00,Warranty:10-Year,100,50,141,"Cabinet Storage, Locking Drawer/Cabinet, With Top Shelf",10-Year
Evie Study Desk,S$319.00,S$479.00,Warranty:3-Year,120,60,77,Drawer(s) Storage,"Laminate, MDF Wood, Metal"
Hess PRO Programmable Electric Adjustable Table (Mahogany/Black),S$437.90,S$787.90,Warranty:5-Year,140,70,58 - 123,Mahogany,"Particle Board, Steel"
Imelda VII Adjustable Children's Study Desk (Pink),S$533.90,S$960.90,Warranty:2-Year,"Shelf Storage, Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",Pink,101.5 - 126,60,MDF Wood
Caesar Study Desk (Oak),S$329.90,S$593.82,Warranty:3-Year,120,60,76,Oak,MDF Wood
Bestille Desk Brown,S$55.90,S$103.90,Warranty:1-Year,90,50,114,Brown,"Particle Board, Steel"
Hess PRO Programmable Electric Adjustable Table (Natural/ White),S$468.90,S$843.90,Warranty:5-Year,140,70,58 - 123,Natural,"Particle Board, Steel"
Desta Study Table,S$179.00,S$269.00,Warranty:3-Year,100,50,76,"Drawer(s) Storage, Cable Management","MDF Wood, Metal"
Briggs Electric Height Adjustable Table (Black),S$244.90,S$440.90,Warranty:5-Year,120,60,73 - 123,Black,"Particle Board, Steel"
Hedy Study Desk (Natural),S$199.00,S$474.90,Warranty:3-Year,83,58,150,Natural,Particle Board
Erik Desk,S$99.00,S$308.90,Warranty:1-Year,120,60,76.50,Brown,MDF Wood
Langdon Study Desk,S$299.00,S$449.00,Warranty:3-Year,"Cabinet Storage, Locking Drawer/Cabinet",None,None,3-Year,Free Assembly Included
Arryn Adjustable Children's Study Desk 1.2M,S$336.90,S$699.00,Warranty:10-Year,"Shelf Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",90 - 105,120,60,Solid Wood
Hortense Study Desk,S$349.00,S$529.00,Warranty:3-Year,"100 , 120","55, 65",75,Locking Drawer/Cabinet,MDF Wood
Devyn 1.4M Study Desk (White),S$259.00,S$466.00,Warranty:3-Year,140,60,75,White,MDF Wood
Chiso Work Station,S$159.00,S$641.90,Warranty:3-Year,148,80,149,"Laminate, MDF Wood, Particle Board, Rubber wood",Homeble
Myro Desk,S$102.90,S$184.90,Warranty:1-Year,100,50,78,Keyboard Tray,MDF Wood
Imelda VI Adjustable Children's Study Desk (Pink),S$587.90,"S$1,057.90",Warranty:2-Year,"Shelf Storage, Drawer(s) Storage, Cable Management, Height Adjustable, Ergonomic, Tiltable Tabletop",Pink,106 - 129.5,60,MDF Wood
Maryland Desk,S$339.90,S$685.90,Warranty:3-Year,188,45,73.50,Shelf Storage,3-Year
Imelda VI Adjustable Children's Study Desk (Blue),S$587.90,"S$1,057.90",Warranty:2-Year,"Shelf Storage, Drawer(s) Storage, Cable Management, Height Adjustable, Ergonomic, Tiltable Tabletop",Blue,106 - 129.5,60,MDF Wood
Imelda Adjustable Children's Study Desk and Chair (Blue),None,None,Warranty:2-Year,Blue,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",None,2-Year,Free Assembly Included
Keyon 1.2M Foldable Table,S$39.90,S$71.82,Warranty:1-Year,120,60,Melamine,120cm,Homeble
Mirek Study Table,S$169.00,S$259.00,Warranty:3-Year,100,50,76,"Shelf Storage, Cable Management","MDF Wood, Metal"
Drudwyn Extendable Study Desk (Grey),S$639.00,"S$1,150.00",Warranty:3-Year,119 - 142,55,155,Grey,"Melamine, Rubber wood"
Gaston Straight table L150 (White),S$421.90,S$758.90,Warranty:1-Year,150,75,White,"MDF Wood, Melamine, Metal",Cable Management
Aurlon Dual Study Desk (Grey/Blue),S$449.00,S$808.00,Warranty:3-Year,240,55,76,"Extendable Tabletop, Drawer(s) Storage","MDF Wood, Melamine"
Castanho Desk Light Ash,S$111.90,S$200.90,Warranty:1-Year,113,61.50,84,Ash,1-Year
Eithna 0.8M 2 Door Display Cabinet With Study Desk Set (Cream/Dusty Pink),S$529.00,S$939.00,Warranty:3-Year,80,33,200,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, With Top Shelf","Glass, Melamine"
Azunto 1.4M Study Desk with Chair Set,S$869.00,"S$1,559.00",Warranty:10-Year,Drawer(s) Storage,Cove,None,10-Year,Free Assembly Included
Leonore 1.2m Study Desk Set,S$689.00,"S$1,239.00",Warranty:10-Year,120,61,76,Walnut,Rubber wood
Briar Study Desk,S$269.00,S$409.00,Warranty:3-Year,120,50,75,Drawer(s) Storage,MDF Wood
Rommey Computer Table V,S$159.00,S$239.00,Warranty:1-Year,55,51,84,"Shelf Storage, Castor/Wheels, Keyboard Tray","MDF Wood, Steel"
Karyan 1.1M Study Desk (Grey),S$149.00,S$268.00,Warranty:3-Year,112,41,73,Grey,Melamine
Frea Study Desk III,S$279.00,S$419.00,Warranty:3-Year,119.50,40,78.50,Drawer(s) Storage,"Laminate, MDF Wood, Melamine"
Gaston Straight table L150 (Ash + Dark Grey),S$421.90,S$758.90,Warranty:1-Year,150,75,Grey,"MDF Wood, Melamine, Metal",Cable Management
Ryland Corner Study Desk (Off-White/Birch),S$389.00,S$700.00,Warranty:3-Year,100,100,146,"Shelf Storage, With Top Shelf",Melamine
Giolio Programmable Electric Adjustable Table (Black/ Wooden Top),S$305.90,S$550.90,Warranty:5-Year,120.20,60.20,72 - 121,Black,"Particle Board, Steel"
Leonore 1.2m Study Desk,S$469.00,S$849.00,Warranty:10-Year,120,61,76,Walnut,Rubber wood
Adela Desk in White and Oak,S$188.90,S$339.90,Warranty:1-Year,83,52,91,White Oak,Homeble
Bestien 1.0M Study Table Set of 2 (Beech),S$389.00,S$700.00,Warranty:3-Year,200,56,76,Beech,"MDF Wood, Melamine"
Altonen Study Table (Grey/Orange/Black),S$359.00,S$646.00,Warranty:3-Year,119,60,75,Drawer(s) Storage,Melamine
Alisher Study Table,S$460.90,S$829.90,Warranty:10-Year,150.20,60.30,77,Drawer(s) Storage,"Mango Wood, Metal"
"Armel Study Desk - Walnut, 120cm",S$855.90,"S$1,540.90",Warranty:10-Year,120,120,165,MDF Wood,66.80
Eithna 1.2M 2 Doors Cabinet With Study Desk Set (Cream/Dusty Pink),S$649.00,"S$1,168.00",Warranty:3-Year,120,33,200,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, With Top Shelf",Melamine
Levente 1.2M Extendable Study Desk with Storage Cabinet (Greige),S$199.00,S$358.00,Warranty:3-Year,120,39,75,Greige,120cm
Worrell Study Desk,S$249.00,S$379.00,Warranty:3-Year,Keyboard Tray,None,None,3-Year,Free Assembly Included
Ollson Study Desk (Black),S$134.90,S$242.90,Warranty:3-Year,98,45,90,"Particle Board, Steel",11.00
Parry Study Table with Top Shelves,S$319.00,S$479.00,Warranty:3-Year,110,54,171,"Shelf Storage, Drawer(s) Storage","Laminate, MDF Wood, Metal"
Marshall study desk,S$196.90,S$353.90,Warranty:3-Year,90,45,95.50,Natural,Solid Wood
Elie Study Table,S$339.00,S$610.00,Warranty:3-Year,"120, 140",55,194,"Cabinet Storage, Shelf Storage, With Top Shelf",Melamine
Aurlon Study Desk (Grey/Blue),S$319.00,S$574.00,Warranty:3-Year,119,55,76,Blue,"MDF Wood, Melamine"
Cadell Study Desk with Storage,S$439.00,S$659.00,Warranty:10-Year,120,48,180,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, With Top Shelf",10-Year
Aurlon Study Desk with Aphria Chair Set (Grey/White/Yellow),S$439.00,S$790.00,Warranty:3-Year,No,"Shelf Storage, Drawer(s) Storage",None,3-Year,Free Assembly Included
Darryn 1.2M Study Desk (Birch),S$149.00,S$268.00,Warranty:3-Year,120,60,89,Birch,Particle Board
Ercole Straight table L120 (White),S$202.90,S$364.90,Warranty:1-Year,120,60,White,"MDF Wood, Melamine",Cable Management
Fikas Foldable Table (Cream White),S$77.90,S$179.90,Warranty:3-Year,63.50,49.50,72,Cream White,PET
"Oxford Station™ Electric Adjustable Table, 1.2M",None,None,Warranty:1-Year,120,60,60-125,120cm,30.00
Tekla Study Desk,S$99.00,S$179.00,Warranty:1-Year,"80, 120",60,75,Natural,"Melamine, Steel"
Hady Study Desk (Grey),S$179.90,S$323.90,Warranty:3-Year,80,60,128.5 - 129,"Particle Board, Steel",24.00
Daviel 1.2M Study Desk (Walnut/Grey),S$179.00,S$322.00,Warranty:3-Year,120,60,75,Walnut,Melamine
Devyn 1.0M Study Desk with Guivret Chair Set (White/Grey),S$339.00,S$610.00,Warranty:3-Year,White,"Drawer(s) Storage, Cable Management",None,3-Year,Free Assembly Included
Anntoin 1.45M Study Desk (Greige),S$279.00,S$499.00,Warranty:3-Year,144,56,119,Greige,Melamine
Selby Study Desk in Black Legs,S$233.90,S$420.90,Warranty:3-Year,120,80,77,Shelf Storage,"MDF Wood, Melamine, Metal"
Giolio ll Programmable Electric Adjustable Table (Black/ Tempered Glass),S$335.90,S$604.90,Warranty:5-Year,120.20,60.20,72 - 121,Black,"Steel, Tempered Glass"
Tirza Study Desk (White),S$61.90,S$110.90,Warranty:1-Year,114,40,91.20,White,Engineered Wood
Imelda V Adjustable Children's Study Desk and Chair (Blue),None,None,Warranty:2-Year,Blue,"Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",None,2-Year,Free Assembly Included
Bestille Desk Light Ash,S$70.90,S$127.90,Warranty:1-Year,90,50,114,Beech,"Particle Board, Steel"
Kalika 1.6M Study Desk (White),S$229.00,S$399.00,Warranty:3-Year,160,50,75,White,"Particle Board, Metal"
Ercole Straight table L150 (White),S$281.90,S$506.90,Warranty:1-Year,75.50,150,75,"Work Desk, Study Desk, Office Table","MDF Wood, Melamine"
Salgado Study Desk,S$259.00,S$389.00,Warranty:3-Year,120,54,76.50,"Drawer(s) Storage, Keyboard Tray",3-Year
Craviss Electric Adjustable Gaming Table (Black),S$335.90,S$604.90,Warranty:5-Year,120.40,60.40,75.5 - 125.5,Black,41.50
Devyn 1.0M Study Desk (Blue),S$189.00,S$340.00,Warranty:3-Year,100,50,75,Blue,MDF Wood
Zaria Children's Study Desk (Pine),S$359.00,S$699.00,Warranty:3-Year,"Shelf Storage, Drawer(s) Storage",Pine,114,53,Wood
Kaethe 0.7M Height-Adjustable Mobile Desk (White/Oak),S$249.00,S$448.00,Warranty:3-Year,72,50,109,White/Oak,70cm
Aurlon Study Desk with Aphria Chair Set (Grey/Blue),S$439.00,S$790.00,Warranty:3-Year,Blue,"Shelf Storage, Drawer(s) Storage",None,3-Year,Free Assembly Included
Gulley Study Desk,S$259.00,S$389.00,Warranty:3-Year,"Cabinet Storage, Locking Drawer/Cabinet",None,None,3-Year,None
Hail Programmable Electric Adjustable Table (White),S$305.90,S$550.90,Warranty:5-Year,120,60,73 - 123,White,"Particle Board, Steel"
Briggs Starter Kit Set + Murray Monitor Arm (Single/Dual),None,None,Warranty:5-Year,"Height Adjustable, Ergonomic",None,None,5-Year,Free Assembly Included
"Wall Street Station™ Electric Adjustable Table, 1.6M",None,None,Warranty:1-Year,160,80,60-125,"Cable Management, Castor/Wheels, Height Adjustable",30.00
Bryce Desk,S$69.00,S$245.90,Warranty:1-Year,120,45.50,85.50,Walnut,1-Year
Endre 1.2M Study Desk (White),S$229.00,S$409.00,Warranty:3-Year,120,56,75,White,120cm
Neil Study Desk,S$198.00,S$289.90,Warranty:1-Year,120.50,61,90.50,MDF Wood,Qoltured
Heil Study Desk II (White),S$249.00,S$448.00,Warranty:3-Year,116,61,78,Drawer(s) Storage,3-Year
Eithna 2.4M Dual Study Desk With 6 Drawers Set (Cream),S$489.00,S$859.00,Warranty:3-Year,240,38,75,Cream,Melamine
Devyn 1.2M Study Desk (White),S$219.00,S$394.00,Warranty:3-Year,120,50,75,White,MDF Wood
Rommey Computer Table III,S$239.00,S$359.00,Warranty:3-Year,"Shelf Storage, Keyboard Tray","MDF Wood, Steel",None,3-Year,Free Assembly Included
Hess Pro Kit Set + Dietlinde Monitor Arms (Dual),None,None,Warranty:5-Year,"Height Adjustable, Ergonomic",None,None,5-Year,Free Assembly Included
Devyn 1.4M Study Desk (Blue),S$259.00,S$466.00,Warranty:3-Year,140,60,75,Blue,MDF Wood
Lyubov 1.2M Study Table,S$529.00,S$952.00,Warranty:3-Year,119,58 (including handle),76,Oak Wood,Cadence
Freyne Extendable Study Desk (Grey),S$359.00,S$646.00,Warranty:3-Year,"120, 140",60,75,Grey,Melamine
Ollson Study Desk (White),S$129.90,S$233.90,Warranty:3-Year,98,45,90,"Particle Board, Steel",11.00
Emrys Extendable Study Desk,S$489.00,S$889.00,Warranty:3-Year,120 - 152,55,78,Grey,Melamine
Fuasto Straight table L120 (White),S$342.90,S$616.90,Warranty:1-Year,120,60,White,"MDF Wood, Melamine, Metal",Cable Management
Devyn 1.2M Study Desk with Guivret Chair Set (White/Grey),S$369.00,S$664.00,Warranty:3-Year,White,"Drawer(s) Storage, Cable Management",None,3-Year,Free Assembly Included
Giolio ll Programmable Electric Adjustable Table (White/ Tempered Glass),S$376.90,S$677.90,Warranty:5-Year,120.20,60.20,72 - 121,White,"Steel, Tempered Glass"
Parson Study Desk (Oak/White),S$192.90,S$346.90,Warranty:1-Year,53.50,123.50,80.50,White Oak,"MDF Wood, Veneer"
Kamden L-Shape Study Desk (Right/Walnut),S$249.00,S$448.00,Warranty:3-Year,140,100,75,Walnut,"Particle Board, Steel"
Frazier Study Set with Storage on the Left (Natural),S$639.00,"S$1,139.00",Warranty:3-Year,Natural,"Extendable Tabletop, Drawer(s) Storage",None,Cadence,3-Year
Garm Gaming Table,S$153.90,S$276.90,Warranty:3-Year,114,68,75,Black,"MDF Wood, Steel"
Jevrem Study Table,S$460.90,S$829.90,Warranty:10-Year,150.20,60.30,77,Drawer(s) Storage,"Mango Wood, Metal"
Imelda V.1 Adjustable Children's Study Desk (Pink),None,None,Warranty:2-Year,"Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",75.5 - 93,70,60,2-Year
